Blues,0.0,116.64358593750006,-13.0255859375,233.27077101562503,0.0
Country,0.0,123.02437499999999,-11.65439423076923,188.89499471153852,0.0
Electronic,0.0,119.21824242424242,-9.847898989898987,321.83708919191895,0.0
Folk,0.0,137.86382352941177,-13.690941176470588,228.95820235294119,0.0
Jazz,0.0,122.71086486486487,-14.713391891891893,278.7126627027027,0.0
Latin,0.0,119.7258260869565,-7.790782608695654,264.4246043478262,0.0
Metal,0.0,136.0739298245614,-5.941070175438597,277.1871433333334,0.0
New Age,0.0,118.31135294117645,-16.304411764705883,379.1561382352942,0.0
Pop,0.0,123.98771844660186,-7.1531067961165045,234.7467788349514,0.0
Punk,0.0,141.2175,-7.53813157894737,189.23400421052625,0.0
Rap,0.0,120.90827710843368,-8.007180722891563,221.8523123493976,0.0
Reggae,0.0,140.4278860759494,-8.990253164556965,216.84331810126577,0.0
RnB,0.0,113.68840298507457,-9.53646268656716,236.12465223880605,0.0
Rock,0.0,129.38722557726464,-8.371520426287736,245.51716015985792,0.0
World,0.0,129.17416666666668,-8.936000000000002,297.7062141666667,0.0
